,index,year,concussion,pe_attendance,Television,race,sports_participation,sex,breakfast,physical_activity,age_sex,multiple_partners,Age_Weed,fight,Hrs_Sleep,suicide,Age_Alc,drunk_driving
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
4387,203483,2019,0,5,3,2,3,1,5,7,10,6,9,0,5,0,8,0
3239,200687,2017,0,3,0,3,0,1,2,7,12,1,11,1,6,0,8,0
6900,214681,2017,0,3,0,1,2,1,7,5,12,2,11,1,6,0,8,0
4008,202615,2019,0,1,0.5,4,0,1,1,1,12,4,10,1,6,0,8,0
3239,200687,2019,0,3,0,3,0,1,2,7,12,1,11,1,6,0,8,0
4008,202615,2019,0,1,0.5,4,0,1,1,1,12,4,10,1,6,0,8,0
335,190957,2017,0,0,1,1,1,2,5,0,12,1,12,0,6,1,8,0
437,191661,2017,0,5,4,1,1,2,7,7,9,6,8,0,6,1,8,0
488,191787,2017,4,0,2,1,0,2,2,4,13,1,11,0,6,1,8,0
1065,193538,2017,0,5,0.5,3,0,2,3,7,11,3,9,0,6,1,8,0
4934,207077,2017,0,0,1,1,1,2,7,7,12,4,11,0,6,1,8,0
5576,209065,2017,0,5,0.5,1,2,2,5,7,10,6,12,0,6,1,8,0
6074,210357,2017,0,0,1,1,0,2,2,6,13,6,11,0,6,1,8,0
1065,193538,2019,0,5,0.5,3,0,2,3,7,11,3,9,0,6,1,8,0
6584,213520,2019,2,0,1,1,0,1,1,7,11,6,11,0,6,1,8,0
4367,203415,2019,0,0,5,3,3,1,4,7,12,2,10,0,6,1,8,0
2101,196095,2019,2,5,5,1,2,2,7,4,11,2,12,0,6,1,8,0
4548,204771,2019,0,5,0.5,1,1,2,6,7,11,5,10,0,6,1,8,0
4367,203415,2019,0,0,5,3,3,1,4,7,12,2,10,0,6,1,8,0
460,191719,2017,0,2,0.5,4,2,2,0,7,8,1,10,1,6,1,8,0
1484,194438,2017,0,0,0.5,3,0,2,3,0,13,3,11,1,6,1,8,0
2946,199819,2017,0,0,1,2,2,1,2,2,12,2,12,1,6,1,8,0
